gap_index_n,c_n,c_n_plus_1,delta_c,log10_delta_c
357,484371505,485493013,1121508,6.049802375862
358,485493013,486382997,889984,5.949382199033
359,486382997,486916565,533568,5.727189775481
360,486916565,488342201,1425636,6.154008653587
361,488342201,488853821,511620,5.708947513367
362,488853821,493278157,4424336,6.645848101435
363,493278157,494713069,1434912,6.156825267560
364,494713069,495386825,673756,5.828502645735
365,495386825,497421037,2034212,6.308396211926
366,497421037,497589145,168108,5.225588381335
367,497589145,499459417,1870272,6.271904772049
368,499459417,501963193,2503776,6.398595472176
369,501963193,502571497,608304,5.784120672245
370,502571497,504010849,1439352,6.158167015593
371,504010849,504019853,9004,3.954435486328
372,504019853,505470293,1450440,6.161499768156
373,505470293,506062673,592380,5.772600387398
374,506062673,506922817,860144,5.934571164232
375,506922817,508582925,1660108,6.220136342425
376,508582925,511951565,3368640,6.527454601255
377,511951565,512709293,757728,5.879513335845
378,512709293,513413365,704072,5.847617073352
379,513413365,514877249,1463884,6.165506664048
380,514877249,515246021,368772,5.566757938664
381,515246021,516343217,1097196,6.040284215647
382,516343217,517320565,977348,5.990049228580
383,517320565,519399277,2078712,6.317794323158
384,519399277,521418361,2019084,6.305154387283
385,521418361,521952481,534120,5.727638840330
386,521952481,522893605,941124,5.973646848685
387,522893605,524040469,1146864,6.059511920472
388,524040469,525850345,1809876,6.257648821079
389,525850345,528702305,2851960,6.455143430050
390,528702305,530971885,2269580,6.355945495713
391,530971885,532460573,1488688,6.172803687627
392,532460573,532909337,448764,5.652018010395
393,532909337,533951345,1042008,6.017871053265
394,533951345,535444201,1492856,6.174017917958
395,535444201,535495493,51292,4.710049633595
396,535495493,537610369,2114876,6.325284908782
397,537610369,539729413,2119044,6.326139974530
398,539729413,540612137,882724,5.945824934592
399,540612137,542114269,1502132,6.176708098016
400,542114269,542332045,217776,5.338010016642
401,542332045,543618485,1286440,6.109389535376
402,543618485,544460365,841880,5.925250192388
403,544460365,545124785,664420,5.822442696866
404,545124785,546592853,1468068,6.166746172297
405,546592853,549211961,2619108,6.418153407107
406,549211961,550339117,1127156,6.051984027182
407,550339117,551854693,1515576,6.180577719360
408,551854693,553499657,1644964,6.216156397865
409,553499657,554892097,1392440,6.143776490574
410,554892097,556135241,1243144,6.094521438202
411,556135241,558290449,2155208,6.333489190456
412,558290449,560152825,1862376,6.270067366355
413,560152825,561681845,1529020,6.184413166140
414,561681845,563101885,1420040,6.152300577858
415,563101885,563212949,111064,5.045573310651
416,563212949,564746137,1533188,6.185595411447
417,564746137,565270537,524400,5.719662683018
418,565270537,567443357,2172820,6.337023750138
419,567443357,570053261,2609904,6.416624532995
420,570053261,570111893,58632,4.768134708685
421,570111893,571595725,1483832,6.171384732747
422,571595725,573140273,1544548,6.188801409440
423,573140273,574480253,1339980,6.127098316309
424,574480253,574686905,206652,5.315239612786
425,574686905,577165265,2478360,6.394164391087
426,577165265,579360805,2195540,6.341541353816
427,579360805,580040425,679620,5.832266150894
428,580040425,581560513,1520088,6.181868730582
429,581560513,581596333,35820,4.554125581513
430,581596333,584262001,2665668,6.425806058526
431,584262001,584714401,452400,5.655522596253
432,584714401,586470985,1756584,6.244668922625
433,586470985,588684137,2213152,6.345011242438
434,588684137,590114317,1430180,6.155390700463
435,590114317,591402101,1287784,6.109843024922
436,591402101,591683669,281568,5.449583296020
437,591683669,593255105,1571436,6.196296698168
438,593255105,594828625,1573520,6.196872267322
439,594828625,598585565,3756940,6.574834259243
440,598585565,600274937,1689372,6.227725291820
441,600274937,600821437,546500,5.737590166286
442,600821437,601857733,1036296,6.015483821824
443,601857733,603061477,1203744,6.080534135419
444,603061477,603442613,381136,5.581079971766
445,603442613,605029577,1586964,6.200567074972
446,605029577,605812393,782816,5.893659693635
447,605812393,608061709,2249316,6.352050472517
448,608061709,610315193,2253484,6.352854478876
449,610315193,610522285,207092,5.316163322346
450,610522285,612118525,1596240,6.203098189546
451,612118525,613082585,964060,5.984104063839
452,613082585,615317257,2234672,6.349213787404
453,615317257,617612273,2295016,6.360785717624
454,617612273,620396141,2783868,6.444648638902
455,620396141,620856361,460220,5.662965488085
456,620856361,622466045,1609684,6.206740627258
457,622466045,622672345,206300,5.314499227973
458,622672345,624077813,1405468,6.147820961945
459,624077813,624952717,874904,5.941960402099
460,624952717,625691665,738948,5.868613878033
461,625691665,627753061,2061396,6.314161428992
462,627753061,630042709,2289648,6.359768721026
463,630042709,631277165,1234456,6.091475614885
464,631277165,632900293,1623128,6.210352769673
465,632900293,634525505,1625212,6.210910020346
466,634525505,635153345,627840,5.797848981364
467,635153345,636152801,999456,5.999763679517
468,636152801,639763697,3610896,6.557614980181
469,639763697,641784697,2021000,6.305566313515
470,641784697,642596993,812296,5.909714314638
471,642596993,643421269,824276,5.916072654909
472,643421269,644913529,1492260,6.173844497887
473,644913529,646700665,1787136,6.252157603318
474,646700665,647234233,533568,5.727189775481
475,647234233,650084005,2849772,6.454810115060
476,650084005,652378957,2294952,6.360773606495
477,652378957,652413985,35028,4.544415341036
478,652413985,654028973,1614988,6.208169299699
479,654028973,654748133,719160,5.856825523744
480,654748133,655681073,932940,5.969853713943
481,655681073,657335257,1654184,6.218583815821
482,657335257,657614381,279124,5.445797180163
483,657614381,662305397,4691016,6.671266914230
484,662305397,663059945,754548,5.877686872305
485,663059945,664657157,1597212,6.203362564429
486,664657157,664723405,66248,4.821172771634
487,664723405,665188121,464716,5.667187625335
488,665188121,666388949,1200828,6.079480805904
489,666388949,667544989,1156040,6.062972861315
490,667544989,668056577,511588,5.708920348952
491,668056577,672805225,4748648,6.676569978105
492,672805225,673827661,1022436,6.009636132604
493,673827661,675175537,1347876,6.129649940424
494,675175537,675504565,329028,5.517232857610
495,675504565,677550017,2045452,6.310789292497
496,677550017,678864625,1314608,6.118796270836
497,678864625,679928665,1064040,6.026957954512
498,679928665,680465693,537028,5.729996929887
499,680465693,680547781,82088,4.914279674602
500,680547781,684682105,4134324,6.616404508551
501,684682105,685237373,555268,5.744502645877
502,685237373,686372453,1135080,6.055026471515
503,686372453,687629465,1257012,6.099339423676
504,687629465,688064885,435420,5.638908373465
505,688064885,688169525,104640,5.019697730980
506,688169525,689759401,1589876,6.201363253493
507,689759401,690566725,807324,5.907047863313
508,690566725,691456001,889276,5.949036571627
509,691456001,692968093,1512092,6.179578215687
510,692968093,695373629,2405536,6.381211860712
511,695373629,695623277,249648,5.397328091150
512,695623277,695916721,293444,5.467525233994
513,695916721,697327069,1410348,6.149326287004
514,697327069,698327365,1000296,6.000128532145
515,698327365,699032945,705580,5.848546262015
516,699032945,700740905,1707960,6.232477695403
517,700740905,700742177,1272,3.104487111312
518,700742177,702450949,1708772,6.232684119042
519,702450949,703161157,710208,5.851385560019
520,703161157,703707281,546124,5.737291262488
521,703707281,706651177,2943896,6.468922463470
522,706651177,708368413,1717236,6.234829984418
523,708368413,710992049,2623636,6.418903581406
524,710992049,711541205,549156,5.739695733003
525,711541205,711809137,267932,5.428024585924
526,711809137,713978737,2169600,6.336379672187
527,713978737,716420437,2441700,6.387692303201
528,716420437,717765805,1345368,6.128841093639
529,717765805,718866305,1100500,6.041590046889
530,718866305,719418493,552188,5.742086964436
531,719418493,719496485,77992,4.892050057382
532,719496485,721229249,1732764,6.238739416449
533,721229249,721869469,640220,5.806329237059
534,721869469,722964097,1094628,6.039266552970
535,722964097,724324613,1360516,6.133703653555
536,724324613,724701029,376416,5.575668075340
537,724701029,727339145,2638116,6.421293887894
538,727339145,728967161,1628016,6.211658668783
539,728967161,730711285,1744124,6.241577358235
540,730711285,732272153,1560868,6.193366177056
541,732272153,732457493,185340,5.267969158685
542,732457493,734205785,1748292,6.242613970288
543,734205785,734744909,539124,5.731688665599
544,734744909,735303161,558252,5.746830287655
