gap_index_n,c_n,c_n_plus_1,delta_c,log10_delta_c,p_n,q_n,k_n,d_n,p_n_plus_1,q_n_plus_1,k_n_plus_1,d_n_plus_1
261,358821425,359552993,731568,5.864254700458,5276,18193,3,1,7469,25755,5,2
262,359552993,361677821,2124828,6.327323780657,7469,25755,5,2,7491,25831,1,2
263,361677821,364285417,2607596,6.416240306170,7491,25831,1,2,5316,18331,1,1
264,364285417,365158877,873460,5.941243021309,5316,18331,1,1,7527,25955,5,2
265,365158877,365518669,359792,5.556051502549,7527,25955,5,2,5325,18362,2,1
266,365518669,367300181,1781512,6.250788752040,5325,18362,2,1,7549,26031,1,2
267,367300181,369052069,1751888,6.243506337827,7549,26031,1,2,7567,26093,3,2
268,369052069,372277837,3225768,6.508633129345,7567,26093,3,2,5374,18531,1,1
269,372277837,372965905,688068,5.837631360569,5374,18531,1,1,7607,26231,1,2
270,372965905,373524533,558628,5.747122699966,7607,26231,1,2,5383,18562,2,1
271,373524533,374731237,1206704,6.081600752341,5383,18562,2,1,7625,26293,3,2
272,374731237,374773313,42076,4.624034446438,7625,26293,3,2,5392,18593,3,1
273,374773313,376500737,1727424,6.237398949183,5392,18593,3,1,7643,26355,5,2
274,376500737,378674993,2174256,6.337310677212,7643,26355,5,2,7665,26431,1,2
275,378674993,380356985,1681992,6.225823925847,7665,26431,1,2,5432,18731,1,1
276,380356985,381617125,1260140,6.100418797379,5432,18731,1,1,5441,18762,2,1
277,381617125,382236713,619588,5.792102997880,5441,18762,2,1,7701,26555,5,2
278,382236713,382879349,642636,5.807965050757,7701,26555,5,2,5450,18793,3,1
279,382879349,384427445,1548096,6.189797888503,5450,18793,3,1,7723,26631,1,2
280,384427445,386219665,1792220,6.253391319456,7723,26631,1,2,7741,26693,3,2
281,386219665,388016053,1796388,6.254400145282,7741,26693,3,2,7759,26755,5,2
282,388016053,388522861,506808,5.704843461635,7759,26755,5,2,5490,18931,1,1
283,388522861,389796445,1273584,6.105027594398,5490,18931,1,1,5499,18962,2,1
284,389796445,390223261,426816,5.630240691403,5499,18962,2,1,7781,26831,1,2
285,390223261,392028925,1805664,6.256636939487,7781,26831,1,2,7799,26893,3,2
286,392028925,393838757,1809832,6.257638262792,7799,26893,3,2,7817,26955,5,2
287,393838757,396062441,2223684,6.347073071216,7817,26955,5,2,7839,27031,1,2
288,396062441,396775465,713024,5.853104148214,7839,27031,1,2,5548,19131,1,1
289,396775465,398062493,1287028,6.109587995322,5548,19131,1,1,5557,19162,2,1
290,398062493,399351605,1289112,6.110290651154,5557,19162,2,1,5566,19193,3,1
291,399351605,401944985,2593380,6.413866157268,5566,19193,3,1,7897,27231,1,2
292,401944985,403777537,1832552,6.263056306911,7897,27231,1,2,7915,27293,3,2
293,403777537,405114797,1337260,6.126215854223,7915,27293,3,2,5606,19331,1,1
294,405114797,405614257,499460,5.698500712833,5606,19331,1,1,7933,27355,5,2
295,405614257,406415269,801012,5.903639022320,7933,27355,5,2,5615,19362,2,1
296,406415269,407717825,1302556,6.114796403732,5615,19362,2,1,5624,19393,3,1
297,407717825,407870893,153068,5.184884407707,5624,19393,3,1,7955,27431,1,2
298,407870893,409716889,1845996,6.266230755639,7955,27431,1,2,7973,27493,3,2
299,409716889,411567053,1850164,6.267210226316,7973,27493,3,2,7991,27555,5,2
300,411567053,413540857,1973804,6.295304024755,7991,27555,5,2,5664,19531,1,1
301,413540857,413840165,299308,5.476118324957,5664,19531,1,1,8013,27631,1,2
302,413840165,414854773,1014608,6.006298282328,8013,27631,1,2,5673,19562,2,1
303,414854773,417563213,2708440,6.432719219116,5673,19562,2,1,8049,27755,5,2
304,417563213,419852801,2289588,6.359757340233,8049,27755,5,2,8071,27831,1,2
305,419852801,421725685,1872884,6.272510879500,8071,27831,1,2,8089,27893,3,2
306,421725685,422053645,327960,5.515820877740,8089,27893,3,2,5722,19731,1,1
307,422053645,423381005,1327360,6.122988726037,5722,19731,1,1,5731,19762,2,1
308,423381005,423602737,221732,5.345828374308,5731,19762,2,1,8107,27955,5,2
309,423602737,424710449,1107712,6.044426860511,8107,27955,5,2,5740,19793,3,1
310,424710449,425908801,1198352,6.078584405034,5740,19793,3,1,8129,28031,1,2
311,425908801,427795129,1886328,6.275617211309,8129,28031,1,2,8147,28093,3,2
312,427795129,430653161,2858032,6.456067087067,8147,28093,3,2,5780,19931,1,1
313,430653161,431993965,1340804,6.127365296912,5780,19931,1,1,5789,19962,2,1
314,431993965,432008165,14200,4.152288344383,5789,19962,2,1,8187,28231,1,2
315,432008165,433336853,1328688,6.123423012706,8187,28231,1,2,5798,19993,3,1
316,433336853,434681825,1344972,6.128713243170,5798,19993,3,1,5807,20024,4,1
317,434681825,435811877,1130052,6.053098428256,5807,20024,4,1,8223,28355,5,2
318,435811877,438150893,2339016,6.369033192603,8223,28355,5,2,8245,28431,1,2
